submission_title,count,min,max
Game Thread: Kansas City Chiefs (0-0) at New England Patriots (0-0),42054,2017-09-08 00:43:00,2017-09-08 03:57:03
Game Thread: New York Giants (0-0) at Dallas Cowboys (0-0),14297,2017-09-11 00:33:00,2017-09-11 03:27:07
Game Thread: New Orleans Saints (0-0) at Minnesota Vikings (0-0),14752,2017-09-11 23:12:00,2017-09-12 02:09:02
Game Thread: Houston Texans (0-1) at Cincinnati Bengals (0-1),17647,2017-09-15 00:27:01,2017-09-15 03:35:03
Game Thread: Detroit Lions (1-0) at New York Giants (0-1),17656,2017-09-19 00:32:00,2017-09-19 03:27:04
Game Thread: Los Angeles Rams (1-1) at San Francisco 49ers (0-2),15464,2017-09-22 00:28:00,2017-09-22 03:56:05
Game Thread: Oakland Raiders (2-0) at Washington Redskins (1-1),11611,2017-09-25 00:32:00,2017-09-25 03:32:06
Game Thread: Dallas Cowboys (1-1) at Arizona Cardinals (1-1),17228,2017-09-26 00:33:00,2017-09-26 03:47:06
Game Thread: Chicago Bears (1-2) at Green Bay Packers (2-1),32602,2017-09-29 00:30:01,2017-09-29 03:59:04
Game Thread: Washington Redskins (2-1) at Kansas City Chiefs (3-0),17112,2017-10-03 00:31:00,2017-10-03 03:48:03
Game Thread: Philadelphia Eagles (4-1) at Carolina Panthers (4-1),23617,2017-10-13 00:28:02,2017-10-13 03:47:06
Game Thread: Green Bay Packers (4-1) at Minnesota Vikings (3-2),12109,2017-10-15 17:03:03,2017-10-15 20:19:11
Game Thread: Kansas City Chiefs (5-1) at Oakland Raiders (2-4),23186,2017-10-20 00:27:02,2017-10-20 03:54:07
Game Thread: Atlanta Falcons (3-2) at New England Patriots (4-2),19786,2017-10-23 00:32:01,2017-10-23 03:26:03
Game Thread: Washington Redskins (3-2) at Philadelphia Eagles (5-1),17843,2017-10-24 00:32:01,2017-10-24 03:41:06
Game Thread: Pittsburgh Steelers (5-2) at Detroit Lions (3-3),11519,2017-10-30 00:32:02,2017-10-30 03:34:05
Game Thread: Denver Broncos (3-3) at Kansas City Chiefs (5-2),10675,2017-10-31 00:31:02,2017-10-31 03:37:09
Game Thread: Detroit Lions (3-4) at Green Bay Packers (4-3),12357,2017-11-07 01:32:02,2017-11-07 04:16:04
Game Thread: Seattle Seahawks (5-3) at Arizona Cardinals (4-4),15343,2017-11-10 01:30:02,2017-11-10 04:24:04
Game Thread: Atlanta Falcons (5-4) at Seattle Seahawks (6-3),16276,2017-11-21 01:32:01,2017-11-21 04:50:06
Game Thread: Los Angeles Chargers (4-6) at Dallas Cowboys (5-5),12933,2017-11-23 21:33:01,2017-11-24 00:26:04
Game Thread: Washington Redskins (5-6) at Dallas Cowboys (5-6),12153,2017-12-01 01:27:02,2017-12-01 04:22:05
Game Thread: Pittsburgh Steelers (9-2) at Cincinnati Bengals (5-6),24354,2017-12-05 01:32:01,2017-12-05 04:56:04
Game Thread: New Orleans Saints (9-3) at Atlanta Falcons (7-5),17594,2017-12-08 01:28:01,2017-12-08 04:29:07
Game Thread: Minnesota Vikings (10-2) at Carolina Panthers (8-4),11188,2017-12-10 18:03:02,2017-12-10 21:12:10
Game Thread: New England Patriots (10-2) at Miami Dolphins (5-7),19065,2017-12-12 01:32:01,2017-12-12 04:49:05
Game Thread: Green Bay Packers (7-6) at Carolina Panthers (9-4),11132,2017-12-17 18:13:11,2017-12-17 21:27:32
Game Thread: Dallas Cowboys (7-6) at Oakland Raiders (6-7),13443,2017-12-18 01:32:01,2017-12-18 04:49:05
Game Thread: Atlanta Falcons (8-5) at Tampa Bay Buccaneers (4-9),13002,2017-12-19 01:32:01,2017-12-19 04:34:07
Game Thread: Minnesota Vikings (11-3) at Green Bay Packers (7-7),11723,2017-12-24 01:32:02,2017-12-24 04:30:06
Game Thread: Oakland Raiders (6-8) at Philadelphia Eagles (12-2),12251,2017-12-26 01:31:02,2017-12-26 04:44:07
Game Thread: Jacksonville Jaguars (12-6) at New England Patriots (14-3),66406,2018-01-21 20:20:02,2018-01-21 23:17:06
